t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.21346720670093305,0.4321954042319727,0.2,0.8059009617045306,0.8839047902793832,0.79053991899486,0.688,0.32880803240205597,0.7019470489929219,0.35602008100514,0.2809959550423514,0.20561991910084704,0.2,0.38743549366184826,0.43202265948563334,0.5672192605627883
1,0.18880277023447561,0.3761621482944658,0.2,0.871684415652944,1.0,0.8327746046747657,0.67636,0.3554159978060731,0.8427852139512553,0.40553949249005433,0.3167021392152929,0.21189776269414443,0.2,0.4909809817731301,0.5520568552123759,0.6692483269305194
2,0.15003613719080566,0.4162818562883768,0.2,0.9401660189402317,1.0,0.8788358690260234,0.6650691999999999,0.3790327660923696,0.9861061464539876,0.4467679384441725,0.35510383371067983,0.21888086174141658,0.2,0.5495145041010336,0.6224139049750856,0.7290518192288228
3,0.18762034056515559,0.4259730635097893,0.2,1.0,1.0,0.9172543347858596,0.6541171239999999,0.40431416737396964,1.0,0.49157259260673725,0.39796693740475325,0.22665139187209749,0.2,0.5999917674466595,0.6848965776069109,0.7821620909658742
4,0.17985282976590733,0.42701398359379905,0.2,1.0,1.0,0.9549868285327856,0.6434936102799999,0.42849748297557483,1.0,0.5329718874412865,0.43972483322912237,0.23517937461795896,0.2,0.6145279220624094,0.7066912058000928,0.8006875249300789
5,0.17181584685375764,0.4301915483162604,0.2,1.0,1.0,0.9921223053133221,0.6331888019715999,0.4515939967124109,1.0,0.5710956700972859,0.4802402782591505,0.24443238643696238,0.2,0.6282007339106442,0.7274928219681763,0.8183688986729498
6,0.20838598660976126,0.39140064411653036,0.2,1.0,1.0,1.0,0.6231931379124519,0.4763073059911863,1.0,0.6127987845838858,0.5241972086054977,0.2544720067447027,0.2,0.6231931379124519,0.7270841435333977,0.8141818866282222
7,0.19306441756442214,0.4182051741288679,0.2,1.0,1.0,1.0,0.6134973437750784,0.499483488395272,1.0,0.6501185079893549,0.5660151528594708,0.26524758973444507,0.2,0.6134973437750784,0.7207484714615817,0.797600648345538
8,0.165438790061127,0.40536151654982844,0.2,1.0,1.0,1.0,0.604092423461826,0.5204227285890578,1.0,0.6814284010990562,0.6042798175633032,0.27668071018836665,0.2,0.604092423461826,0.714126623030119,0.7825791092458843
9,0.21440992398791786,0.3765521054438502,0.2,1.0,1.0,1.0,0.5949696507579713,0.5437767558136065,1.0,0.7185184696422912,0.6470996083449925,0.28885589525338284,0.2,0.5949696507579713,0.7082053840318246,0.7664190355343636
10,0.21426922476890506,0.4185689882100441,0.2,1.0,1.0,1.0,0.5861205612352322,0.5665384904044007,1.0,0.7537329298755124,0.6892378633096922,0.30175209356704286,0.2,0.5861205612352322,0.7023415115202482,0.7508704058295572
11,0.2175425859836932,0.38355820178258143,0.2,1.0,1.0,1.0,0.5775369443981752,0.5889275833033123,1.0,0.7876776712792908,0.7310049017725779,0.315354670666824,0.2,0.5775369443981752,0.6965815473246539,0.7357910138421686
12,0.15745076737531458,0.4300282719805426,0.2,1.0,1.0,1.0,0.5692108360662299,0.6071514397632484,1.0,0.8114835180026833,0.7656023436085243,0.32951317083232623,0.2,0.5692108360662299,0.6901698485924888,0.7217690279501607
13,0.21438252106337943,0.39452124141128436,0.2,1.0,1.0,1.0,0.561134510984243,0.6283356050329699,1.0,0.8443335686646936,0.8055340852851808,0.3443287208297066,0.2,0.561134510984243,0.6845377883467004,0.7028899284886934
14,0.15750242993567518,0.36971620447989345,0.2,1.0,1.0,1.0,0.5533004756547157,0.6455773607032862,1.0,0.868388443578073,0.8387377566849177,0.3596601887551079,0.2,0.5533004756547157,0.6783198669168813,0.68693988166527
15,0.2007935081698959,0.3791183561813466,0.2,1.0,1.0,1.0,0.5457014613850742,0.6649855371758978,1.0,0.8992868905987255,0.8759035406849736,0.37558165768125634,0.2,0.5457014613850742,0.6727107141879634,0.6690209324449716
16,0.22610984030108636,0.40885697968510076,0.2,1.0,1.0,1.0,0.538330417543522,0.6854274891645655,1.0,0.9340732212471174,0.915224156381027,0.39213032423206434,0.2,0.538330417543522,0.6674756807967409,0.6500468644701815
17,0.16606994559043894,0.41554039933731846,0.2,1.0,1.0,1.0,0.5311805050172163,0.7017559986708778,1.0,0.9594205319169976,0.9476103403351368,0.4091612277964464,0.2,0.5311805050172163,0.6616461920377165,0.6342219039227841
