t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.1980480665601294,0.2,0.8068933481341534,0.8885615910185238,0.800357407821031,0.7231641759999999,0.32189449131958753,0.6890582425605661,0.31865512129896884,0.2729163526142909,0.20545832705228584,0.1916804,0.41497749493548997,0.46173013430995763,0.5945505141634639
1,0.18335621012845318,0.19467592537839234,0.2,0.8741837696183505,1.0,0.8517977713276179,0.7441706673267519,0.34370905199146906,0.8212114891841262,0.3383813995101843,0.3014051256264544,0.21143184629429207,0.19202647872080003,0.5541301569323948,0.6207909997540858,0.7296657301107728
2,0.1827612583959917,0.21577058263942708,0.2,0.9447217290168648,1.0,0.9050089492848693,0.7646078117789417,0.3649341750221005,0.9507865952436745,0.3569764315305925,0.3344189969971081,0.21800590777129134,0.19201208253817217,0.6537256250779373,0.7372240126654557,0.8286373901310942
3,0.17070843055120627,0.21349959241034844,0.2,1.0,1.0,0.9616084336831546,0.7844293107480674,0.38490584875277906,1.0,0.3728361043459311,0.3671812473253069,0.22516947364008458,0.19201268139057714,0.7543138408436056,0.8559327740411625,0.9295396875873438
4,0.1508102698901876,0.1802043704799646,0.2,1.0,1.0,1.0,0.8036562700388763,0.403184326505852,1.0,0.38491797305656017,0.3967646688523819,0.23285307228073135,0.1920126564795148,0.8036562700388763,0.9170638342311166,0.9815010949765702
5,0.17680506805581753,0.16419505175328342,0.2,1.0,1.0,1.0,0.822306416171076,0.42256553080798553,1.0,0.4002949720650848,0.4277071694685379,0.24107868494729479,0.19201265751576516,0.822306416171076,0.9439238377037261,1.0
6,0.2094731400025534,0.18101082520349454,0.2,1.0,1.0,1.0,0.8403970581015042,0.44342228929428834,1.0,0.41980333174844453,0.4607409134320021,0.2498827163664619,0.19201265747265922,0.8403970581015042,0.970824833698348,1.0
7,0.21313935948631207,0.2456205037257012,0.2,1.0,1.0,1.0,0.8579449807664407,0.46397760198850246,1.0,0.4388862063771365,0.49307563249648023,0.2592454018527269,0.19201265747445234,0.8579449807664407,0.9972685199513703,1.0
8,0.17028048039697008,0.23935407039073098,0.2,1.0,1.0,1.0,0.8749664657517442,0.4814474991199573,1.0,0.450586105410704,0.5201452289776606,0.26905585241375285,0.19201265747437773,0.8749664657517442,1.0,1.0
9,0.21461094594362265,0.2167418968908161,0.2,1.0,1.0,1.0,0.8914773061874756,0.5011404767559268,1.0,0.468350579324603,0.550514811559159,0.2793755901207985,0.19201265747438084,0.8914773061874756,1.0,1.0
10,0.15218954829259454,0.19567883282802068,0.2,1.0,1.0,1.0,0.9074928214101355,0.5165958460919352,1.0,0.4758636198951524,0.5737458031633591,0.29005675028285766,0.1920126574743807,0.9074928214101355,1.0,1.0
11,0.20013990026923545,0.17962256519901001,0.2,1.0,1.0,1.0,0.9230278711761156,0.5345418523131419,1.0,0.49019356123367064,0.6006662982906819,0.3011695087458427,0.19201265747438073,0.9230278711761156,1.0,1.0
12,0.16794684099117005,0.18097901892794863,0.2,1.0,1.0,1.0,0.9380968694491164,0.5501076248221345,1.0,0.498978046613553,0.6234738020800922,0.31262728969998616,0.19201265747438073,0.9380968694491164,1.0,1.0
13,0.1706588038326986,0.22878252125228976,0.2,1.0,1.0,1.0,0.9527137977739272,0.565446970788894,1.0,0.5077301021506705,0.645595218191748,0.32441292116682124,0.19201265747438073,0.9527137977739272,1.0,1.0
14,0.1778224435414629,0.19231232741232457,0.2,1.0,1.0,1.0,0.9668922182489936,0.5808326514890104,1.0,0.5171191008672469,0.6675091696660825,0.3365189753484747,0.19201265747438073,0.9668922182489936,1.0,1.0
15,0.20144178818003283,0.24483835441071128,0.2,1.0,1.0,1.0,0.9806452861098081,0.597250850849938,1.0,0.5295815513437799,0.6908809230394363,0.34897140405577864,0.19201265747438073,0.9806452861098081,1.0,1.0
16,0.1734417596928808,0.15440066030830055,0.2,1.0,1.0,1.0,0.9939857619347979,0.6115785935176133,1.0,0.5381471625048225,0.7107239390955,0.36169616879713085,0.19201265747438073,0.9939857619347979,1.0,1.0
17,0.22791074996209448,0.23325705677266573,0.2,1.0,1.0,1.0,1.0,0.6230579541926667,1.0,0.5549866551360728,0.7351206353043306,0.37478161981524616,0.1920229218975341,1.0,1.0,1.0
18,0.213226495984901,0.20233726678272193,0.2,1.0,1.0,1.0,1.0,0.6276600503352804,1.0,0.5687648284085189,0.7573436893357329,0.38818067740380835,0.1920326713712982,1.0,1.0,1.0
19,0.16878403096788316,0.16545094051128195,0.2,1.0,1.0,1.0,1.0,0.6271915712133501,1.0,0.574995041462227,0.77447899282699,0.40178845048631007,0.19203634557091898,1.0,1.0,1.0
20,0.17433904666686528,0.19608823169290837,0.2,1.0,1.0,1.0,1.0,0.6273010026146607,1.0,0.5817707990225618,0.7914292907564225,0.4155991517965754,0.19203577742482156,1.0,1.0,1.0
21,0.15525855610624317,0.21992852202225763,0.2,1.0,1.0,1.0,1.0,0.6262084595409914,1.0,0.5852547298822365,0.8058001615298185,0.42955916350920603,0.19203589806950017,1.0,1.0,1.0
22,0.20823059669124785,0.15130677777911172,0.2,1.0,1.0,1.0,1.0,0.6288648989038211,1.0,0.5967592390648796,0.8247006643634232,0.4437575851613824,0.19203492451148804,1.0,1.0,1.0
23,0.217394270219977,0.1991531923517495,0.2,1.0,1.0,1.0,1.0,0.6306836566756455,1.0,0.6091200495380316,0.843899610224005,0.4581980015142487,0.19203731994304937,1.0,1.0,1.0
24,0.2235012321709906,0.19750782228931774,0.2,1.0,1.0,1.0,1.0,0.6319097456667995,1.0,0.6171407362203073,0.862153705677213,0.4728590956126505,0.19202323734194196,1.0,1.0,1.0
25,0.21365906245883703,0.1954266412801748,0.2,1.0,1.0,1.0,1.0,0.6318972730778035,1.0,0.6191328421375007,0.8778836009982397,0.4876881766764888,0.1920111947036468,1.0,1.0,1.0
26,0.1990421849955044,0.19992324013586324,0.2,1.0,1.0,1.0,1.0,0.6310126183006234,1.0,0.6177432012460383,0.8911539439285497,0.5026343737882949,0.19200827809524607,1.0,1.0,1.0
27,0.151820341925671,0.1643949089252057,0.2,1.0,1.0,1.0,1.0,0.6277581793773683,1.0,0.6098217697340524,0.8991787693030663,0.5175916054364733,0.19200999145978673,1.0,1.0,1.0
28,0.16858092541666422,0.1906216598278033,0.2,1.0,1.0,1.0,1.0,0.627217066353471,1.0,0.608936255408902,0.9087542401720151,0.5325907741855489,0.1920205807750286,1.0,1.0,1.0
29,0.17953991355480353,0.20392195362076082,0.2,1.0,1.0,1.0,1.0,0.6276167516050049,1.0,0.6102411318096566,0.9188689659969,0.5476422457636314,0.1920211748134935,1.0,1.0,1.0
30,0.20274930277476708,0.1900010933010386,0.2,1.0,1.0,1.0,1.0,0.6291989259242583,1.0,0.6144064034915467,0.9305594057091113,0.5627770114201773,0.19201927308501163,1.0,1.0,1.0
