t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.23066907771186793,0.2,0.8061560348583215,0.8842955431700139,0.7937961930834501,0.688,0.3275055227666199,0.6784929376918235,0.3527638069165499,0.2776155403345487,0.20555231080669098,0.2,0.3893265269948512,0.43395383270747767,0.568860757801356
1,0.22683958194591014,0.17896253777644655,0.2,0.8717358153670717,1.0,0.8302765128953118,0.67636,0.35642825961420904,0.7925763708505336,0.40815155386260893,0.3151718471239758,0.21180022464110357,0.2,0.489537039951734,0.5506067322600747,0.6680157224210634
2,0.2112885950238362,0.22042198668434126,0.2,0.9392847685324301,1.0,0.8671873799483066,0.6650691999999999,0.383694868825284,0.9085229767501479,0.45843726542305396,0.3568682534904986,0.2188195874645025,0.2,0.5417227376876816,0.6144724198595437,0.722301556880612
3,0.20291064457790642,0.1610162048917212,0.2,1.0,1.0,0.903487027442396,0.6541171239999999,0.4097771357793263,1.0,0.5049519988385872,0.4018617200315651,0.2266686259904888,0.2,0.590986335961929,0.6757467767742482,0.7743847602581109
4,0.15215494230324214,0.18841711045442977,0.2,1.0,1.0,0.9455807139188738,0.6434936102799999,0.43216200392303766,1.0,0.5415276402421442,0.44110584869076797,0.23522405670439925,0.2,0.6084751474107958,0.7005110910756411,0.7954344274142949
5,0.20971161569331076,0.1752383767513222,0.2,1.0,1.0,0.9771729170926859,0.6331888019715999,0.4574406507665604,1.0,0.5849080005840336,0.4860359797544974,0.2445925357324452,0.2,0.6187349486930113,0.7177970298467621,0.8101274753697477
6,0.1901282136454427,0.18174350905457498,0.2,1.0,1.0,1.0,0.6231931379124519,0.48091232731612293,1.0,0.6231818326016483,0.5283983330806155,0.25471457703673306,0.2,0.6231931379124519,0.728088579724772,0.8119207429855617
7,0.21770622473027393,0.24451939145048895,0.2,1.0,1.0,1.0,0.6134973437750784,0.5054518926170363,1.0,0.6404968420794587,0.5718841788163664,0.26560511484269306,0.2,0.6134973437750784,0.7220300315094017,0.8015764741591538
8,0.18212727495285355,0.2498447005087021,0.2,1.0,1.0,1.0,0.604092423461826,0.5272432317987816,1.0,0.6342942491389552,0.6089036177612206,0.2771271360494905,0.2,0.604092423461826,0.715568698039736,0.797945118592089
9,0.15497542330019573,0.23126090004416155,0.2,1.0,1.0,1.0,0.5949696507579713,0.5468606764018238,1.0,0.6305316010380816,0.6408106740583231,0.28917207817016205,0.2,0.5949696507579713,0.7088475777361927,0.7933609607643393
10,0.22002532017026244,0.16509154802769802,0.2,1.0,1.0,1.0,0.5861205612352322,0.569890678701994,1.0,0.6404772179736352,0.677780310082256,0.30183596359010556,0.2,0.5861205612352322,0.7030291867904712,0.78543164337981
11,0.20644548924735606,0.20588918686046748,0.2,1.0,1.0,1.0,0.5775369443981752,0.5915301410892854,1.0,0.6379429624884216,0.7110505148871837,0.3150386142519482,0.2,0.5775369443981752,0.6971076229696197,0.7811585907776502
12,0.2264150289808695,0.17100100094902224,0.2,1.0,1.0,1.0,0.5692108360662299,0.6138267893009054,1.0,0.6421712493667817,0.744529819328865,0.328778824496006,0.2,0.5692108360662299,0.6914997370444662,0.7723580438175807
13,0.1931970680496099,0.23824561068087002,0.2,1.0,1.0,1.0,0.561134510984243,0.6335729436513593,1.0,0.6385568332312112,0.7725166089005299,0.34294136842905654,0.2,0.561134510984243,0.6855663863522715,0.7644497896997956
14,0.2011018544847837,0.18091995299583252,0.2,1.0,1.0,1.0,0.5533004756547157,0.6532997313291623,1.0,0.6415014150174899,0.7997657723714361,0.3575072701921947,0.2,0.5533004756547157,0.6798153438860489,0.7547326715320621
15,0.1565491083307794,0.24397760470117152,0.2,1.0,1.0,1.0,0.5457014613850742,0.66986018454578,1.0,0.6359961102624048,0.820671977708067,0.37234563704443413,0.2,0.5457014613850742,0.6736417499556819,0.7478246174744522
16,0.18792787768851243,0.24963261827822233,0.2,1.0,1.0,1.0,0.538330417543522,0.6878893525934462,1.0,0.6424205243476324,0.8437772272515178,0.38749772521902015,0.2,0.538330417543522,0.6679395343854025,0.7374445764046131
17,0.1613285712496108,0.2312204252248064,0.2,1.0,1.0,1.0,0.5311805050172163,0.7038718330535867,1.0,0.639388006114347,0.8626990745003129,0.40287672945683617,0.2,0.5311805050172163,0.6620395535292954,0.7301428520548797
18,0.21507024973992708,0.24199750224976402,0.2,1.0,1.0,1.0,0.5242450898666997,0.7226792522116426,1.0,0.6491054773322031,0.8863307805304859,0.41857457777287754,0.2,0.5242450898666997,0.6568464571988719,0.7190519949770516
19,0.15142674531506423,0.1872192841557435,0.2,1.0,1.0,1.0,0.5175177371706987,0.7371978756252554,1.0,0.6402345679806699,0.9017648481558043,0.4344241289582648,0.2,0.5175177371706987,0.6510472789249186,0.7138802415669288
20,0.15413351946883164,0.2252034833571964,0.2,1.0,1.0,1.0,0.5109922050555777,0.7515159399027539,1.0,0.6422295747135115,0.9166485727284,0.45041285912325013,0.2,0.5109922050555777,0.6453987805984408,0.7056169031140704
21,0.17837133887427786,0.24595052188429045,0.2,1.0,1.0,1.0,0.5046624389039104,0.7669303217376418,1.0,0.6469986478344775,0.9332963478963113,0.46657465748994387,0.2,0.5046624389039104,0.640126763227028,0.6966220900451021
22,0.17998632107977677,0.22743749246385533,0.2,1.0,1.0,1.0,0.4985225657367931,0.7820562429589873,1.0,0.6482125152069617,0.9491706886306065,0.4828923246876566,0.2,0.4985225657367931,0.6349780054134301,0.6888563014475296
23,0.21942309403744814,0.1738946565367949,0.2,1.0,1.0,1.0,0.49256688876468935,0.7991702225272596,1.0,0.6554364561474498,0.9683869022544397,0.4994311394858688,0.2,0.49256688876468935,0.6303425653009622,0.679326199156131
24,0.19454532993664936,0.2457392180327846,0.2,1.0,1.0,1.0,0.48678988210174867,0.814363686760277,1.0,0.6525590716239471,0.9838318656505948,0.516113465404022,0.2,0.48678988210174867,0.6255382831748418,0.673067081859376
25,0.19215342161498453,0.1859707817868233,0.2,1.0,1.0,1.0,0.4811861856386962,0.8290337998881692,1.0,0.6535177636521038,0.9981651016886561,0.532915632783755,0.2,0.4811861856386962,0.620808049815506,0.6658247532699151
