t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22582619896474793,0.3,0.2,0.8057558354292934,0.8836823284186345,0.7886860701552878,0.688,0.32954957193788487,0.6844339040828202,0.3578739298447122,0.2815315115928514,0.20563063023185704,0.2,0.38636007190494087,0.4309237506134982,0.5662851880214734
1,0.6169743990317843,-0.3,0.45499999999999996,0.8643935623078961,0.9884183118021378,0.7521368192481909,0.66106,0.40222929658134476,0.6944485959969646,0.5021263932072443,0.3581350984544815,0.2127370258986281,0.45499999999999996,0.4248054060314902,0.4846096189096898,0.5481681760732363
2,0.20887759912548187,0.3,0.2,0.9257816997605293,1.0,0.7888005110906458,0.6502281999999999,0.42820622011434006,0.8244604442270475,0.5473517134157043,0.3980335873753005,0.22057032738714782,0.2,0.4748337453193404,0.5459981124624159,0.6640983955930535
3,0.17465091660713153,0.3,0.2,0.9894479685371786,1.0,0.8287874284132163,0.639721354,0.45148011960790946,0.952009953129395,0.5851817652359889,0.43993227609045465,0.22916326963508543,0.2,0.5245984024977186,0.6074944148247445,0.7163702526010328
4,0.19854413869126702,0.3,0.2,1.0,1.0,0.8633675617889279,0.62952971338,0.4756057649391877,1.0,0.6247042977778795,0.48597624133546835,0.23859116176544395,0.2,0.5435155337145732,0.6339902261236008,0.7314804028716968
5,0.16267062962038445,0.3,0.2,1.0,1.0,0.9016237125564683,0.6196438219785999,0.49697585859293103,1.0,0.6321653795541636,0.5261089896836831,0.24872742994146319,0.2,0.5586855632350246,0.6558641963502952,0.7478349530315018
6,0.1814825456164297,0.3,0.2,1.0,1.0,0.9353335159039659,0.6100545073192419,0.5189404148650936,1.0,0.6346141128647563,0.5658283844133855,0.25955672333031626,0.2,0.5706044272239682,0.674242821589581,0.7627221644917169
7,0.22958556503597943,0.3,0.2,1.0,1.0,0.9602060230619691,0.6007528720996647,0.543242038395625,1.0,0.6417071291121591,0.6083098372592008,0.27112735284219713,0.2,0.5768465261618748,0.6865250751116391,0.7710341751112455
8,0.19353416379434565,0.3,0.2,1.0,1.0,0.9890304424592886,0.5917302859366748,0.5647730372633951,1.0,0.635944768113544,0.6443621467174204,0.28330332224812355,0.2,0.5852392665165108,0.7009238418432268,0.7850018351326795
9,0.17145925933194625,0.3,0.2,1.0,1.0,1.0,0.5829783773585745,0.584441266891727,1.0,0.6329216504941148,0.6759026537149201,0.2959883420999407,0.2,0.5829783773585745,0.7022291948604495,0.7870183204831477
