t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22245117409396165,0.21862541570267027,0.2,0.8063006834938301,0.8872350596663087,0.7932041638859059,0.718432,0.3097710704456377,0.6748920830353169,0.3565036761140942,0.27892603359348633,0.20557852067186974,0.1928,0.407667768760393,0.4518670571506751,0.5858869985780738
1,0.21132074050901153,0.24046162378132738,0.2,0.8726106443543238,1.0,0.8394308889112654,0.7352154879999999,0.31933477411503747,0.7983954834458491,0.4085437073847412,0.3130426046808127,0.2117835875587673,0.19305920000000001,0.538542645883794,0.5987340338449095,0.710659128768173
2,0.17078619579911813,0.21357258696059894,0.2,0.9422117400582544,1.0,0.8930031921155687,0.751534911232,0.32620194201410857,0.9168408483741606,0.4519004356413719,0.34856432259622694,0.21863703813510418,0.1930498688,0.6323400400218478,0.7045347321957899,0.8005920551664213
3,0.2223956555733183,0.23721303740697108,0.2,1.0,1.0,0.9399298854934752,0.7673633319316481,0.335994911640011,1.0,0.500830786762085,0.39280955361277403,0.22630685882600862,0.1930502047232,0.7212677287144056,0.8060875290867715,0.8869118485429557
4,0.19583525353993775,0.166937808712557,0.2,1.0,1.0,0.99197917368351,0.7827169511243809,0.34394940002310015,1.0,0.5433305585705672,0.43408417075292033,0.23472547365280694,0.1930501926299648,0.7764389144044396,0.8699084089718375,0.9411595994685706
5,0.18292184496327651,0.24938380127773296,0.2,1.0,1.0,1.0,0.797609959901225,0.35093022286569825,1.0,0.5817683305543689,0.47363519951738753,0.2438509229066266,0.19305019306532128,0.797609959901225,0.8955768642470381,0.9629777863436519
6,0.1582598239928944,0.18191391488492897,0.2,1.0,1.0,1.0,0.8120561784810075,0.3562568038363958,1.0,0.6145849107915425,0.5101809418998456,0.25361603251555725,0.19305019304964843,0.8120561784810075,0.9133113670194422,0.9736766404666509
7,0.22600312863628003,0.19494007558523255,0.2,1.0,1.0,1.0,0.825640585785561,0.36413736102291705,1.0,0.6460165818529098,0.5522130669054124,0.26412413352850994,0.19315155536459375,0.825640585785561,0.9308668902070404,0.9791439932789631
8,0.16669220578659544,0.1816903983245593,0.2,1.0,1.0,1.0,0.8379088842660409,0.36528380777157643,1.0,0.645632290162324,0.5856798310925044,0.2751964888150749,0.1933665182837429,0.8379088842660409,0.9450349759996574,0.9912484129800758
9,0.22269086759168902,0.1835568810468474,0.2,1.0,1.0,1.0,0.8498516442843426,0.3697767946781164,1.0,0.6539271237541375,0.6227206557163945,0.286898937041252,0.19335646059630535,0.8498516442843426,0.9598410402257295,1.0
10,0.18418974345488803,0.2127683837099743,0.2,1.0,1.0,1.0,0.8611906176724571,0.3710649825130516,1.0,0.6503985303436806,0.6536753781798311,0.2991034552344361,0.19341454509858563,0.8611906176724571,0.973035806192919,1.0
11,0.2144468056211732,0.1992113585806884,0.2,1.0,1.0,1.0,0.8723016297344238,0.37446396391999826,1.0,0.6539811837352465,0.6857951881300266,0.3118283244446923,0.1933879974939731,0.8723016297344238,0.9866275638359032,1.0
12,0.15651727867504553,0.20732099431950032,0.2,1.0,1.0,1.0,0.8829700526712032,0.3739664371144543,1.0,0.6462621730928672,0.7102121727093699,0.3249142846544328,0.19341384735911388,0.8829700526712032,0.9985404603078774,1.0
13,0.1528077722798682,0.15945249727647862,0.2,1.0,1.0,1.0,0.8935493132435155,0.3739852582053217,1.0,0.6436150590143666,0.7328097957005051,0.3383213377218986,0.19335922031093497,0.8935493132435155,1.0,1.0
