t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19983213559117616,0.42417869892607296,0.2,0.8060611489761779,0.8841502215593589,0.7925851796613236,0.688,0.32798992813547057,0.7020357665184651,0.35397482033867644,0.2795396312151459,0.20559079262430294,0.2,0.3886229417472985,0.4332354855047205,0.5682501626790124
1,0.21361548524525573,0.4442450283777051,0.2,0.8717056140759045,1.0,0.8310672791796154,0.67636,0.35610710904679915,0.8493957255853192,0.407318402108531,0.3181831877467175,0.21189854845299427,0.2,0.4899863053091615,0.5510569676388202,0.6683984224929971
2,0.20919188597919444,0.4422324996665417,0.2,0.9393424931523693,1.0,0.868280791095042,0.6650691999999999,0.38325594447938083,0.9909636081418886,0.45733126489998366,0.3631414438648388,0.21904239184576113,0.2,0.5424391140598261,0.6152016693033712,0.7229214189078654
3,0.15232041826268916,0.39656226543781053,0.2,1.0,1.0,0.9121525713692129,0.6541171239999999,0.40631377096315763,1.0,0.4963127643943878,0.40228356791825165,0.22689763928566856,0.2,0.5966546166332342,0.6815047621696234,0.7792790478441799
4,0.2254685373598651,0.41489745531369243,0.2,1.0,1.0,0.9431192354282949,0.6434936102799999,0.4331840389306706,1.0,0.5443174067786481,0.44891107900783017,0.23560688447296846,0.2,0.6068912017302667,0.6989046554152185,0.7940689571029357
5,0.22207203934004982,0.36132059646531445,0.2,1.0,1.0,0.972894297232455,0.6331888019715999,0.4591787603178068,1.0,0.5894123423407231,0.4948398126484243,0.24514761188120726,0.2,0.6160257745096198,0.7150288575217202,0.8077745288934621
6,0.1875255238225731,0.37465728326198305,0.2,1.0,1.0,1.0,0.6231931379124519,0.482450822739216,1.0,0.627070553797073,0.5366262606529955,0.2554286609754551,0.2,0.6231931379124519,0.7284241526514056,0.8110393636145729
7,0.19350086873887443,0.4073941187928101,0.2,1.0,1.0,1.0,0.6134973437750784,0.505499604295068,1.0,0.6366716026209776,0.5770155375604972,0.26641468511691047,0.2,0.6134973437750784,0.7220402763551104,0.8027327541155505
8,0.15104913516711216,0.3716729800463848,0.2,1.0,1.0,1.0,0.604092423461826,0.525425062297718,1.0,0.629823790144018,0.6104089543561885,0.27795871735286515,0.2,0.604092423461826,0.7151842781926793,0.798959499420572
9,0.17235858928088882,0.4416345371808552,0.2,1.0,1.0,1.0,0.5949696507579713,0.5461309510971284,1.0,0.6333625988849325,0.6440994977734116,0.29006112013480473,0.2,0.5949696507579713,0.7086956201928033,0.792382497498403
10,0.21125803613033134,0.36596042123580386,0.2,1.0,1.0,1.0,0.5861205612352322,0.56865315948752,1.0,0.6390205754753031,0.6799251845595761,0.3027590126246482,0.2,0.5861205612352322,0.7027753193806868,0.7856528488309928
11,0.21377175931449635,0.3638767418398903,0.2,1.0,1.0,1.0,0.5775369443981752,0.5907631360592018,1.0,0.6391147351234092,0.7138552733548007,0.3160085279654978,0.2,0.5775369443981752,0.6969525821601253,0.7806752742990837
